nichi,group_mise,food_uriage_wariai
20180301,X,0.88678
20180301,Y,0.8791
20180301,Z,0.92024
20180302,X,0.86096
20180302,Y,0.85965
20180302,Z,0.93535
20180305,X,0.84579
20180305,Y,0.82759
20180305,Z,0.93062
20180306,X,0.8702
20180306,Y,0.87446
20180306,Z,0.93952
20180307,X,0.89152
20180307,Y,0.88183
20180307,Z,0.95176
20180308,X,0.90163
20180308,Y,0.85302
20180308,Z,0.88905
20180309,X,0.86307
20180309,Y,0.86557
20180309,Z,0.93503
20180312,X,0.8687
20180312,Y,0.83457
20180312,Z,0.93152
20180313,X,0.8665
20180313,Y,0.88128
20180313,Z,0.93573
20180314,X,0.87702
20180314,Y,0.87937
20180314,Z,0.93871
20180315,X,0.86071
20180315,Y,0.86754
20180315,Z,0.93388
20180316,X,0.77394
20180316,Y,0.87177
20180316,Z,0.93349
20180319,X,0.84313
20180319,Y,0.85433
20180319,Z,0.94077
20180320,X,0.88569
20180320,Y,0.86274
20180320,Z,0.92567
20180322,X,0.87584
20180322,Y,0.87456
20180322,Z,0.9413
20180323,X,0.8499
20180323,Y,0.86381
20180323,Z,0.92698
20180326,X,0.8812
20180326,Y,0.87132
20180326,Z,0.93997
20180327,X,0.87309
20180327,Y,0.8844
20180327,Z,0.94141
20180328,X,0.87508
20180328,Y,0.8791
20180328,Z,0.92763
20180329,X,0.87481
20180329,Y,0.86563
20180329,Z,0.92108
20180330,X,0.86442
20180330,Y,0.86491
20180330,Z,0.91782
20180402,X,0.9191
20180402,Y,0.87063
20180402,Z,0.92028
20180403,X,0.87331
20180403,Y,0.88001
20180403,Z,0.91825
20180404,X,0.88996
20180404,Y,0.86233
20180404,Z,0.94777
20180405,X,0.87705
20180405,Y,0.88178
20180405,Z,0.93509
20180406,X,0.83972
20180406,Y,0.86292
20180406,Z,0.92739
20180409,X,0.86641
20180409,Y,0.86668
20180409,Z,0.87058
20180410,X,0.87803
20180410,Y,0.88366
20180410,Z,0.94064
20180411,X,0.87774
20180411,Y,0.87134
20180411,Z,0.94862
20180412,X,0.87591
20180412,Y,0.87821
20180412,Z,0.94198
20180413,X,0.86513
20180413,Y,0.86865
20180413,Z,0.94345
20180416,X,0.8171
20180416,Y,0.87267
20180416,Z,0.94366
20180417,X,0.8819
20180417,Y,0.85912
20180417,Z,0.92738
20180418,X,0.86804
20180418,Y,0.88577
20180418,Z,0.93357
20180419,X,0.86938
20180419,Y,0.87174
20180419,Z,0.95068
20180420,X,0.88679
20180420,Y,0.8604
20180420,Z,0.91989
20180423,X,0.86219
20180423,Y,0.87376
20180423,Z,0.95603
20180424,X,0.86792
20180424,Y,0.89167
20180424,Z,0.95196
20180425,X,0.87761
20180425,Y,0.86612
20180425,Z,0.93284
20180426,X,0.87238
20180426,Y,0.88349
20180426,Z,0.95384
20180427,X,0.87697
20180427,Y,0.86702
20180427,Z,0.93515
20180501,X,0.85968
20180501,Y,0.83093
20180501,Z,0.94491
20180502,X,0.82032
20180502,Y,0.82073
20180502,Z,0.93575
20180507,X,0.81324
20180507,Y,0.75656
20180507,Z,0.92519
20180508,X,0.85489
20180508,Y,0.84595
20180508,Z,0.95168
20180509,X,0.86883
20180509,Y,0.86701
20180509,Z,0.94683
20180510,X,0.88132
20180510,Y,0.83147
20180510,Z,0.95943
20180511,X,0.87731
20180511,Y,0.81312
20180511,Z,0.92955
20180514,X,0.80794
20180514,Y,0.8684
20180514,Z,0.9491
20180515,X,0.88471
20180515,Y,0.86858
20180515,Z,0.93126
20180516,X,0.86227
20180516,Y,0.8624
20180516,Z,0.96009
20180517,X,0.88362
20180517,Y,0.88334
20180517,Z,0.95431
20180518,X,0.82315
20180518,Y,0.831
20180518,Z,0.93288
20180521,X,0.72023
20180521,Y,0.84725
20180521,Z,0.93404
20180522,X,0.8506
20180522,Y,0.85793
20180522,Z,0.94026
20180523,X,0.84868
20180523,Y,0.81767
20180523,Z,0.93807
20180524,X,0.88166
20180524,Y,0.87759
20180524,Z,0.93181
20180525,X,0.87694
20180525,Y,0.80693
20180525,Z,0.86062
20180528,X,0.74749
20180528,Y,0.85701
20180528,Z,0.95371
20180529,X,0.87634
20180529,Y,0.88179
20180529,Z,0.80755
20180530,X,0.85741
20180530,Y,0.81743
20180530,Z,0.92484
20180531,X,0.85005
20180531,Y,0.85124
20180531,Z,0.94773
20180601,X,0.87062
20180601,Y,0.86868
20180601,Z,0.94549
20180604,X,0.88889
20180604,Y,0.85273
20180604,Z,0.93619
20180605,X,0.89461
20180605,Y,0.85615
20180605,Z,0.93505
20180606,X,0.87038
20180606,Y,0.8449
20180606,Z,0.94909
20180607,X,0.81154
20180607,Y,0.86154
20180607,Z,0.94356
20180608,X,0.87844
20180608,Y,0.8654
20180608,Z,0.93194
20180611,X,0.86264
20180611,Y,0.82342
20180611,Z,0.94967
20180612,X,0.86326
20180612,Y,0.87831
20180612,Z,0.949
20180613,X,0.89021
20180613,Y,0.86955
20180613,Z,0.94058
20180614,X,0.8768
20180614,Y,0.86
20180614,Z,0.95154
20180615,X,0.83765
20180615,Y,0.83823
20180615,Z,0.947
20180618,X,0.86815
20180618,Y,0.84424
20180618,Z,0.94087
20180619,X,0.87714
20180619,Y,0.86069
20180619,Z,0.95591
20180620,X,0.88134
20180620,Y,0.85044
20180620,Z,0.90604
20180621,X,0.8833
20180621,Y,0.86944
20180621,Z,0.96304
20180622,X,0.87219
20180622,Y,0.85171
20180622,Z,0.89868
20180625,X,0.8586
20180625,Y,0.85964
20180625,Z,0.93533
20180626,X,0.85161
20180626,Y,0.85002
20180626,Z,0.94446
20180627,X,0.88199
20180627,Y,0.87492
20180627,Z,0.95321
20180628,X,0.85237
20180628,Y,0.84587
20180628,Z,0.93733
20180629,X,0.84726
20180629,Y,0.84741
20180629,Z,0.93233
20180702,X,0.77272
20180702,Y,0.79519
20180702,Z,0.93486
20180703,X,0.72916
20180703,Y,0.86496
20180703,Z,0.91313
20180704,X,0.83084
20180704,Y,0.85081
20180704,Z,0.91072
20180705,X,0.84055
20180705,Y,0.85396
20180705,Z,0.89427
20180706,X,0.83421
20180706,Y,0.81701
20180706,Z,0.96156
20180709,X,0.86171
20180709,Y,0.84266
20180709,Z,0.92139
20180710,X,0.88749
20180710,Y,0.86328
20180710,Z,0.94268
20180711,X,0.83837
20180711,Y,0.85556
20180711,Z,0.91978
20180712,X,0.8705
20180712,Y,0.85794
20180712,Z,0.94207
20180713,X,0.80379
20180713,Y,0.83815
20180713,Z,0.94478
20180717,X,0.76732
20180717,Y,0.84524
20180717,Z,0.87485
20180718,X,0.86539
20180718,Y,0.85962
20180718,Z,0.93356
20180719,X,0.86208
20180719,Y,0.8697
20180719,Z,0.94405
20180720,X,0.84401
20180720,Y,0.85825
20180720,Z,0.91494
20180723,X,0.85411
20180723,Y,0.86051
20180723,Z,0.93117
