nichi,group_mise,kyaku_param
20180301,X,0.8459
20180301,Y,0.71245
20180301,Z,0.68699
20180302,X,0.82766
20180302,Y,0.66764
20180302,Z,0.5693
20180305,X,0.85927
20180305,Y,0.69985
20180305,Z,0.78554
20180306,X,0.8304
20180306,Y,0.72884
20180306,Z,0.62886
20180307,X,0.86474
20180307,Y,0.66764
20180307,Z,0.63417
20180308,X,0.86839
20180308,Y,0.61581
20180308,Z,0.67636
20180309,X,0.84954
20180309,Y,0.63163
20180309,Z,0.6005
20180312,X,0.84073
20180312,Y,0.7388
20180312,Z,0.72563
20180313,X,0.85319
20180313,Y,0.70659
20180313,Z,0.64693
20180314,X,0.83435
20180314,Y,0.72445
20180314,Z,0.65154
20180315,X,0.84711
20180315,Y,0.68404
20180315,Z,0.63594
20180316,X,0.81611
20180316,Y,0.64217
20180316,Z,0.63665
20180319,X,0.83739
20180319,Y,0.76662
20180319,Z,0.71783
20180320,X,0.82888
20180320,Y,0.62548
20180320,Z,0.60227
20180322,X,0.81459
20180322,Y,0.67408
20180322,Z,0.57356
20180323,X,0.75805
20180323,Y,0.65827
20180323,Z,0.52854
20180326,X,0.82036
20180326,Y,0.71362
20180326,Z,0.65331
20180327,X,0.83465
20180327,Y,0.71918
20180327,Z,0.5654
20180328,X,0.84164
20180328,Y,0.68726
20180328,Z,0.57675
20180329,X,0.81611
20180329,Y,0.73939
20180329,Z,0.55477
20180330,X,0.76869
20180330,Y,0.69488
20180330,Z,0.50798
20180402,X,0.8234
20180402,Y,0.78917
20180402,Z,0.75753
20180403,X,0.81003
20180403,Y,0.7918
20180403,Z,0.63807
20180404,X,0.82675
20180404,Y,0.76047
20180404,Z,0.64552
20180405,X,0.80122
20180405,Y,0.74407
20180405,Z,0.63134
20180406,X,0.8003
20180406,Y,0.70307
20180406,Z,0.58525
20180409,X,0.78176
20180409,Y,0.78067
20180409,Z,0.74867
20180410,X,0.8076
20180410,Y,0.75403
20180410,Z,0.64303
20180411,X,0.80243
20180411,Y,0.72592
20180411,Z,0.62247
20180412,X,0.8228
20180412,Y,0.78712
20180412,Z,0.64871
20180413,X,0.76444
20180413,Y,0.759
20180413,Z,0.6051
20180416,X,0.77082
20180416,Y,0.80849
20180416,Z,0.69656
20180417,X,0.79119
20180417,Y,0.75373
20180417,Z,0.63914
20180418,X,0.80851
20180418,Y,0.67408
20180418,Z,0.66891
20180419,X,0.8
20180419,Y,0.78155
20180419,Z,0.65792
20180420,X,0.7693
20180420,Y,0.7634
20180420,Z,0.61361
20180423,X,0.8079
20180423,Y,0.79531
20180423,Z,0.72705
20180424,X,0.82158
20180424,Y,0.77892
20180424,Z,0.6246
20180425,X,0.80973
20180425,Y,0.63045
20180425,Z,0.70897
20180426,X,0.80182
20180426,Y,0.78858
20180426,Z,0.62673
20180427,X,0.76109
20180427,Y,0.7224
20180427,Z,0.60262
20180501,X,0.64681
20180501,Y,0.53558
20180501,Z,0.61397
20180502,X,0.58845
20180502,Y,0.51713
20180502,Z,0.53456
20180507,X,0.78663
20180507,Y,0.79824
20180507,Z,0.75009
20180508,X,0.77568
20180508,Y,0.7429
20180508,Z,0.65615
20180509,X,0.79635
20180509,Y,0.68551
20180509,Z,0.65828
20180510,X,0.80881
20180510,Y,0.74202
20180510,Z,0.65367
20180511,X,0.78602
20180511,Y,0.72152
20180511,Z,0.59093
20180514,X,0.83495
20180514,Y,0.8205
20180514,Z,0.72244
20180515,X,0.84347
20180515,Y,0.80029
20180515,Z,0.60227
20180516,X,0.81489
20180516,Y,0.75813
20180516,Z,0.63559
20180517,X,0.8228
20180517,Y,0.75403
20180517,Z,0.60759
20180518,X,0.8462
20180518,Y,0.77745
20180518,Z,0.64339
20180521,X,0.88207
20180521,Y,0.86589
20180521,Z,0.80716
20180522,X,0.88146
20180522,Y,0.82811
20180522,Z,0.67884
20180523,X,0.93708
20180523,Y,0.84158
20180523,Z,0.743
20180524,X,0.91945
20180524,Y,0.80732
20180524,Z,0.71889
20180525,X,0.77599
20180525,Y,0.7798
20180525,Z,0.60723
20180528,X,0.79483
20180528,Y,0.82548
20180528,Z,0.72173
20180529,X,0.81033
20180529,Y,0.80146
20180529,Z,0.62815
20180530,X,0.77356
20180530,Y,0.79444
20180530,Z,0.6565
20180531,X,0.78541
20180531,Y,0.77277
20180531,Z,0.64906
20180601,X,0.80091
20180601,Y,0.80937
20180601,Z,0.62673
20180604,X,0.831
20180604,Y,0.8735
20180604,Z,0.79192
20180605,X,0.8231
20180605,Y,0.83045
20180605,Z,0.63134
20180606,X,0.82006
20180606,Y,0.6981
20180606,Z,0.71287
20180607,X,0.79119
20180607,Y,0.81845
20180607,Z,0.67777
20180608,X,0.79514
20180608,Y,0.75286
20180608,Z,0.59837
20180611,X,0.82128
20180611,Y,0.65124
20180611,Z,0.79972
20180612,X,0.82432
20180612,Y,0.82167
20180612,Z,0.65792
20180613,X,0.78085
20180613,Y,0.77452
20180613,Z,0.67529
20180614,X,0.81793
20180614,Y,0.76984
20180614,Z,0.66182
20180615,X,0.80821
20180615,Y,0.69927
20180615,Z,0.66962
20180618,X,0.78602
20180618,Y,0.82518
20180618,Z,0.81425
20180619,X,0.78571
20180619,Y,0.81903
20180619,Z,0.6558
20180620,X,0.79909
20180620,Y,0.64568
20180620,Z,0.74583
20180621,X,0.78723
20180621,Y,0.78653
20180621,Z,0.66218
20180622,X,0.76201
20180622,Y,0.78214
20180622,Z,0.6402
20180625,X,0.78602
20180625,Y,0.86149
20180625,Z,0.71783
20180626,X,0.80061
20180626,Y,0.83953
20180626,Z,0.69798
20180627,X,0.78784
20180627,Y,0.80878
20180627,Z,0.6955
20180628,X,0.78784
20180628,Y,0.80878
20180628,Z,0.67671
20180629,X,0.8
20180629,Y,0.78887
20180629,Z,0.64622
20180702,X,0.85775
20180702,Y,0.90922
20180702,Z,0.79794
20180703,X,0.87477
20180703,Y,0.85388
20180703,Z,0.70861
20180704,X,0.83495
20180704,Y,0.87028
20180704,Z,0.76498
20180705,X,0.8541
20180705,Y,0.8328
20180705,Z,0.79901
20180706,X,0.81915
20180706,Y,0.76135
20180706,Z,0.7547
20180709,X,0.89119
20180709,Y,0.89283
20180709,Z,0.84864
20180710,X,0.87325
20180710,Y,0.86999
20180710,Z,0.74903
20180711,X,0.86474
20180711,Y,0.88726
20180711,Z,0.75753
20180712,X,0.85441
20180712,Y,0.86442
20180712,Z,0.74548
20180713,X,0.83647
20180713,Y,0.80908
20180713,Z,0.65863
20180717,X,0.87508
20180717,Y,0.85769
20180717,Z,0.72634
20180718,X,0.87112
20180718,Y,0.85095
20180718,Z,0.69302
20180719,X,0.87538
20180719,Y,0.82694
20180719,Z,0.68167
20180720,X,0.80699
20180720,Y,0.77775
20180720,Z,0.60759
20180723,X,0.88784
20180723,Y,0.83163
20180723,Z,0.69408
20180724,X,0.90243
20180724,Y,0.79122
20180724,Z,0.60333
20180725,X,0.85897
20180725,Y,0.79736
20180725,Z,0.63063
20180726,X,0.86869
20180726,Y,0.79854
20180726,Z,0.63453
20180727,X,0.8228
20180727,Y,0.74495
20180727,Z,0.55158
20180730,X,0.82827
20180730,Y,0.86442
20180730,Z,0.7632
20180731,X,0.87751
20180731,Y,0.84041
20180731,Z,0.68026
20180801,X,0.89331
20180801,Y,0.85886
20180801,Z,0.71712
20180802,X,0.91733
20180802,Y,0.84334
20180802,Z,0.70932
20180803,X,0.83191
20180803,Y,0.79327
20180803,Z,0.69798
20180806,X,0.8696
20180806,Y,0.87613
20180806,Z,0.79759
20180807,X,0.8696
20180807,Y,0.76779
20180807,Z,0.72705
20180808,X,0.78328
20180808,Y,0.60059
20180808,Z,0.63488
20180809,X,0.8465
20180809,Y,0.78565
20180809,Z,0.66289
20180810,X,0.75562
20180810,Y,0.74846
20180810,Z,0.66253
20180813,X,0.67416
20180813,Y,0.63485
20180813,Z,0.64906
20180814,X,0.75046
20180814,Y,0.63543
20180814,Z,0.64481
20180815,X,0.75745
20180815,Y,0.5959
20180815,Z,0.62815
20180816,X,0.79331
20180816,Y,0.63865
20180816,Z,0.63169
20180817,X,0.7541
