nichi,kion_max,kion_min,kion_ave,kion_asa,kion_hiru,kion_yoru,kousuiryou,kousuiryou_asa,kousuiryou_hiru,kousuiryou_yoru,kousuiryou_jikan,kousuiryou_asa_jikan,kousuiryou_hiru_jikan,kousuiryou_yoru_jikan,tenki_id2,tenki_id2_asa,tenki_id2_hiru,tenki_id2_yoru
20180301,21,7,13,10,17,13,62,62,0,0,7,7,0,0,30,30,10,10
20180302,14,6,10,9,13,9,0,0,0,0,0,0,0,0,10,20,10,10
20180303,15,5,10,6,14,12,0,0,0,0,0,0,0,0,20,20,10,20
20180304,20,8,15,11,19,16,0,0,0,0,0,0,0,0,10,20,10,10
20180305,18,10,16,16,17,16,38,0,9,29,10,0,5,5,30,20,30,30
20180306,11,6,9,8,10,8,1,1,0,0,1,1,0,0,30,30,10,10
20180307,9,4,6,5,7,6,0,0,0,0,0,0,0,0,20,20,20,20
20180308,14,4,6,4,6,9,31,1,8,22,14,2,4,8,30,30,30,30
20180309,18,7,14,17,14,10,48,43,3,2,13,7,4,2,30,30,30,30
20180310,11,5,8,6,10,8,2,2,0,0,3,3,0,0,30,30,10,10
20180311,16,7,10,8,13,11,0,0,0,0,0,0,0,0,10,20,10,10
20180312,15,6,10,7,13,11,0,0,0,0,0,0,0,0,10,20,10,10
20180313,18,6,12,8,15,14,0,0,0,0,0,0,0,0,10,20,10,10
20180314,22,9,15,11,20,16,0,0,0,0,0,0,0,0,10,20,10,10
20180315,21,11,16,13,19,17,0,0,0,0,0,0,0,0,20,20,10,20
20180316,17,6,13,16,14,8,6,1,1,4,7,2,2,3,30,30,30,30
20180317,12,4,8,6,10,8,0,0,0,0,0,0,0,0,10,20,10,10
20180318,18,6,12,8,15,14,0,0,0,0,0,0,0,0,20,20,10,20
20180319,17,12,14,13,17,14,0,0,0,0,0,0,0,0,20,20,20,20
20180320,12,7,9,10,8,8,10,6,4,0,12,8,4,0,30,30,30,20
20180321,7,1,4,5,2,3,23,4,11,8,15,2,6,7,40,30,40,30
20180322,15,5,10,7,12,13,11,11,0,0,4,4,0,0,30,30,20,20
20180323,16,9,12,11,14,11,4,0,0,4,4,0,0,4,30,20,10,30
20180324,16,9,12,10,14,13,1,1,0,0,1,1,0,0,30,30,10,20
20180325,18,8,13,10,17,14,0,0,0,0,0,0,0,0,10,20,10,10
20180326,21,9,15,11,19,16,0,0,0,0,0,0,0,0,10,20,10,10
20180327,21,11,16,13,19,17,0,0,0,0,0,0,0,0,20,20,10,20
20180328,23,13,17,15,21,18,0,0,0,0,0,0,0,0,10,20,10,10
