nichi,group_mise,group_item,target
20180301,X,A,183
20180301,X,B,22
20180301,X,C,8
20180301,X,D,13
20180301,X,E,162
20180301,Y,A,134
20180301,Y,B,16
20180301,Y,C,17
20180301,Y,D,20
20180301,Y,E,138
20180301,Z,A,123
20180301,Z,B,23
20180301,Z,C,11
20180301,Z,D,33
20180301,Z,E,116
20180302,X,A,177
20180302,X,B,15
20180302,X,C,9
20180302,X,D,9
20180302,X,E,183
20180302,Y,A,123
20180302,Y,B,21
20180302,Y,C,13
20180302,Y,D,10
20180302,Y,E,153
20180302,Z,A,90
20180302,Z,B,14
20180302,Z,C,4
20180302,Z,D,23
20180302,Z,E,104
20180305,X,A,203
20180305,X,B,14
20180305,X,C,5
20180305,X,D,12
20180305,X,E,142
20180305,Y,A,133
20180305,Y,B,5
20180305,Y,C,17
20180305,Y,D,17
20180305,Y,E,111
20180305,Z,A,107
20180305,Z,B,10
20180305,Z,C,11
20180305,Z,D,29
20180305,Z,E,95
20180306,X,A,186
20180306,X,B,21
20180306,X,C,4
20180306,X,D,10
20180306,X,E,187
20180306,Y,A,120
20180306,Y,B,6
20180306,Y,C,12
20180306,Y,D,15
20180306,Y,E,143
20180306,Z,A,88
20180306,Z,B,5
20180306,Z,C,6
20180306,Z,D,24
20180306,Z,E,94
20180307,X,A,166
20180307,X,B,8
20180307,X,C,4
20180307,X,D,18
20180307,X,E,208
20180307,Y,A,109
20180307,Y,B,12
20180307,Y,C,7
20180307,Y,D,28
20180307,Y,E,159
20180307,Z,A,73
20180307,Z,B,8
20180307,Z,C,7
20180307,Z,D,32
20180307,Z,E,119
20180308,X,A,181
20180308,X,B,7
20180308,X,C,3
20180308,X,D,18
20180308,X,E,245
20180308,Y,A,83
20180308,Y,D,28
20180308,Y,E,128
20180308,Z,A,77
20180308,Z,B,10
20180308,Z,C,6
20180308,Z,D,32
20180308,Z,E,117
20180309,X,A,213
20180309,X,B,12
20180309,X,C,2
20180309,X,D,15
20180309,X,E,177
20180309,Y,A,130
20180309,Y,B,9
20180309,Y,C,2
20180309,Y,D,27
20180309,Y,E,95
20180309,Z,A,79
20180309,Z,B,11
20180309,Z,C,8
20180309,Z,D,26
20180309,Z,E,81
20180312,X,A,180
20180312,X,B,14
20180312,X,C,6
