nichi,group_mise,uriage_param
20180301,X,0.58781
20180301,Y,0.66051
20180301,Z,0.43795
20180302,X,0.59172
20180302,Y,0.64196
20180302,Z,0.35663
20180305,X,0.62048
20180305,Y,0.70267
20180305,Z,0.52132
20180306,X,0.58751
20180306,Y,0.68285
20180306,Z,0.40173
20180307,X,0.61003
20180307,Y,0.60792
20180307,Z,0.41872
20180308,X,0.60933
20180308,Y,0.60081
20180308,Z,0.48686
20180309,X,0.61544
20180309,Y,0.63403
20180309,Z,0.39898
20180312,X,0.58304
20180312,Y,0.70944
20180312,Z,0.50143
20180313,X,0.59986
20180313,Y,0.6595
20180313,Z,0.41887
20180314,X,0.68021
20180314,Y,0.72159
20180314,Z,0.42387
20180315,X,0.60903
20180315,Y,0.64459
20180315,Z,0.40601
20180316,X,0.6988
20180316,Y,0.64279
20180316,Z,0.42389
20180319,X,0.61097
20180319,Y,0.76448
20180319,Z,0.46959
20180320,X,0.59346
20180320,Y,0.65188
20180320,Z,0.4147
20180322,X,0.56641
20180322,Y,0.63855
20180322,Z,0.37695
20180323,X,0.5558
20180323,Y,0.61224
20180323,Z,0.333
20180326,X,0.57008
20180326,Y,0.67058
20180326,Z,0.40349
20180327,X,0.57959
20180327,Y,0.66648
20180327,Z,0.36514
20180328,X,0.59526
20180328,Y,0.64558
20180328,Z,0.37708
20180329,X,0.57441
20180329,Y,0.71745
20180329,Z,0.36871
20180330,X,0.57366
20180330,Y,0.67135
20180330,Z,0.31936
20180402,X,1
20180402,Y,0.73679
20180402,Z,0.50922
20180403,X,0.55323
20180403,Y,0.74748
20180403,Z,0.41209
20180404,X,0.57806
20180404,Y,0.69903
20180404,Z,0.41307
20180405,X,0.59822
20180405,Y,0.71107
20180405,Z,0.41352
20180406,X,0.56615
20180406,Y,0.67016
20180406,Z,0.37229
20180409,X,0.54519
20180409,Y,0.72214
20180409,Z,0.5317
20180410,X,0.6077
20180410,Y,0.69146
20180410,Z,0.41767
20180411,X,0.55507
20180411,Y,0.69183
20180411,Z,0.39483
20180412,X,0.57072
20180412,Y,0.73474
20180412,Z,0.42312
20180413,X,0.52078
20180413,Y,0.72616
20180413,Z,0.38864
20180416,X,0.55853
20180416,Y,0.73518
20180416,Z,0.43332
20180417,X,0.54089
20180417,Y,0.72093
20180417,Z,0.42634
20180418,X,0.59952
20180418,Y,0.65625
20180418,Z,0.4395
20180419,X,0.58149
20180419,Y,0.73916
20180419,Z,0.41608
20180420,X,0.53187
20180420,Y,0.73119
20180420,Z,0.39167
20180423,X,0.56493
20180423,Y,0.73989
20180423,Z,0.48317
20180424,X,0.55774
20180424,Y,0.72941
20180424,Z,0.40151
20180425,X,0.6045
20180425,Y,0.61031
20180425,Z,0.48101
20180426,X,0.54742
20180426,Y,0.75157
20180426,Z,0.40259
20180427,X,0.52703
20180427,Y,0.67131
20180427,Z,0.37878
20180501,X,0.4458
20180501,Y,0.49541
20180501,Z,0.39988
20180502,X,0.44862
20180502,Y,0.50326
20180502,Z,0.36037
20180507,X,0.55225
20180507,Y,0.80517
20180507,Z,0.5056
20180508,X,0.53834
20180508,Y,0.71414
20180508,Z,0.41347
20180509,X,0.56062
20180509,Y,0.60707
20180509,Z,0.42423
20180510,X,0.57423
20180510,Y,0.71982
20180510,Z,0.43281
20180511,X,0.56088
20180511,Y,0.72169
20180511,Z,0.3799
20180514,X,0.6109
20180514,Y,0.74924
20180514,Z,0.45117
20180515,X,0.57693
20180515,Y,0.78381
20180515,Z,0.40301
20180516,X,0.57035
20180516,Y,0.72222
20180516,Z,0.42906
20180517,X,0.57754
20180517,Y,0.7141
20180517,Z,0.4
20180518,X,0.64798
20180518,Y,0.75414
20180518,Z,0.43031
20180521,X,0.75903
20180521,Y,0.78911
20180521,Z,0.53241
20180522,X,0.62786
20180522,Y,0.7593
20180522,Z,0.43335
20180523,X,0.7006
20180523,Y,0.81933
20180523,Z,0.50351
20180524,X,0.62689
20180524,Y,0.74157
20180524,Z,0.4774
20180525,X,0.62364
20180525,Y,0.81303
20180525,Z,0.4375
20180528,X,0.7347
20180528,Y,0.77005
20180528,Z,0.4684
20180529,X,0.68736
20180529,Y,0.72903
20180529,Z,0.49269
20180530,X,0.73551
20180530,Y,0.77304
20180530,Z,0.49623
20180531,X,0.90551
20180531,Y,0.73012
20180531,Z,0.45987
20180601,X,0.67094
20180601,Y,0.77127
20180601,Z,0.40502
20180604,X,0.67797
20180604,Y,0.81541
20180604,Z,0.5163
20180605,X,0.55266
20180605,Y,0.76843
20180605,Z,0.4277
20180606,X,0.58205
20180606,Y,0.67312
20180606,Z,0.48327
20180607,X,0.62133
20180607,Y,0.77719
20180607,Z,0.45009
20180608,X,0.63652
20180608,Y,0.70008
20180608,Z,0.38437
20180611,X,0.56378
20180611,Y,0.64572
20180611,Z,0.51876
20180612,X,0.578
20180612,Y,0.75157
20180612,Z,0.43141
20180613,X,0.54435
20180613,Y,0.72002
20180613,Z,0.46084
20180614,X,0.55384
